Datum;Open;Close;Arbeitslosenquote;Verbraucherpreisindex;Leitzins;Wechselkurs EUR/USD;CompanyName;StockName
2012-01-02;5900.180176;6075.52002;7.3;90.6;0.25;1.296008;DAX;DAX
2012-01-03;6124.109863;6166.569824;7.3;90.6;0.25;1.294096;DAX;DAX
2012-01-04;6141.259766;6111.549805;7.3;90.6;0.25;1.305602;DAX;DAX
2012-01-05;6121.339844;6095.990234;7.3;90.6;0.25;1.293142;DAX;DAX
2012-01-06;6114.640137;6057.919922;7.3;90.6;0.25;1.279607;DAX;DAX
2012-01-09;6061.259766;6017.22998;7.3;90.6;0.25;1.268038;DAX;DAX
2012-01-10;6090.870117;6162.97998;7.3;90.6;0.25;1.277596;DAX;DAX
2012-01-11;6148.450195;6152.339844;7.3;90.6;0.25;1.275185;DAX;DAX
2012-01-12;6160.089844;6179.209961;7.3;90.6;0.25;1.272394;DAX;DAX
2012-01-13;6242.490234;6143.080078;7.3;90.6;0.25;1.282051;DAX;DAX
2012-01-16;6120.399902;6220.009766;7.3;90.6;0.25;1.264702;DAX;DAX
2012-01-17;6301.910156;6332.930176;7.3;90.6;0.25;1.266705;DAX;DAX
2012-01-18;6330.430176;6354.569824;7.3;90.6;0.25;1.2746;DAX;DAX
2012-01-19;6377.240234;6416.259766;7.3;90.6;0.25;1.286604;DAX;DAX
2012-01-20;6410.75;6404.390137;7.3;90.6;0.25;1.296496;DAX;DAX
2012-01-23;6387.330078;6436.620117;7.3;90.6;0.25;1.288477;DAX;DAX
2012-01-24;6372.490234;6419.220215;7.3;90.6;0.25;1.302694;DAX;DAX
2012-01-25;6448.870117;6421.850098;7.3;90.6;0.25;1.304104;DAX;DAX
2012-01-26;6453.620117;6539.850098;7.3;90.6;0.25;1.310736;DAX;DAX
2012-01-27;6507.77002;6511.97998;7.3;90.6;0.25;1.309278;DAX;DAX
2012-01-30;6454.540039;6444.450195;7.3;90.6;0.25;1.320795;DAX;DAX
2012-01-31;6489.040039;6458.910156;7.3;90.6;0.25;1.313957;DAX;DAX
2012-02-01;6482.950195;6616.640137;7.4;91.2;0.25;1.307702;DAX;DAX
2012-02-02;6640.049805;6655.629883;7.4;91.2;0.25;1.317003;DAX;DAX
2012-02-03;6649.569824;6766.669922;7.4;91.2;0.25;1.313715;DAX;DAX
2012-02-06;6752.029785;6764.830078;7.4;91.2;0.25;1.312715;DAX;DAX
2012-02-07;6772.75;6754.200195;7.4;91.2;0.25;1.312164;DAX;DAX
2012-02-08;6800.720215;6748.759766;7.4;91.2;0.25;1.324854;DAX;DAX
2012-02-09;6782.140137;6788.799805;7.4;91.2;0.25;1.324854;DAX;DAX
2012-02-10;6730.540039;6692.959961;7.4;91.2;0.25;1.327845;DAX;DAX
2012-02-13;6748.680176;6738.470215;7.4;91.2;0.25;1.323679;DAX;DAX
2012-02-14;6712.680176;6728.189941;7.4;91.2;0.25;1.315789;DAX;DAX
